user_id,interest,skill_level
255,Web Development,Advanced
256,Web Development,Advanced
257,Mobile Development,Beginner
258,Cybersecurity,Intermediate
259,DevOps,Advanced
260,DevOps,Beginner
261,DevOps,Beginner
262,Cloud Computing,Advanced
263,Cloud Computing,Advanced
264,Cybersecurity,Intermediate
265,Mobile Development,Beginner
266,DevOps,Intermediate
267,Cybersecurity,Beginner
268,Data Science,Beginner
269,Data Science,Intermediate
270,Data Science,Advanced
271,Mobile Development,Beginner
272,Cybersecurity,Advanced
273,Data Science,Intermediate
274,DevOps,Intermediate
275,Cybersecurity,Beginner
276,Cloud Computing,Beginner
277,Data Science,Advanced
278,Data Science,Advanced
279,Data Science,Beginner
280,Cloud Computing,Beginner
281,Data Science,Advanced
282,Mobile Development,Advanced
283,Data Science,Beginner
284,Data Science,Intermediate
285,DevOps,Beginner
286,Cybersecurity,Intermediate
287,Cybersecurity,Beginner
288,Data Science,Intermediate
289,Cybersecurity,Intermediate
290,DevOps,Beginner
291,DevOps,Beginner
292,Mobile Development,Advanced
293,Cybersecurity,Advanced
294,DevOps,Advanced
295,DevOps,Advanced
296,Data Science,Beginner
297,Mobile Development,Advanced
298,Mobile Development,Intermediate
299,DevOps,Beginner
300,DevOps,Intermediate
301,Cybersecurity,Advanced
302,Web Development,Beginner
303,Cloud Computing,Advanced
304,DevOps,Advanced
305,Mobile Development,Beginner
306,Cybersecurity,Intermediate
307,Mobile Development,Beginner
308,Cybersecurity,Intermediate
309,Mobile Development,Beginner
310,Web Development,Beginner
311,Cloud Computing,Intermediate
312,Mobile Development,Beginner
313,DevOps,Intermediate
314,Cloud Computing,Advanced
315,Web Development,Beginner
316,DevOps,Intermediate
317,Web Development,Intermediate
318,Cybersecurity,Intermediate
319,DevOps,Intermediate
320,Cloud Computing,Advanced
321,DevOps,Advanced
322,Data Science,Intermediate
323,Data Science,Advanced
324,Cloud Computing,Intermediate
325,Mobile Development,Intermediate
326,Cybersecurity,Beginner
327,Data Science,Intermediate
328,Cloud Computing,Beginner
329,Cybersecurity,Beginner
330,Data Science,Intermediate
331,Cloud Computing,Advanced
332,Web Development,Advanced
333,Cybersecurity,Beginner
334,DevOps,Intermediate
335,Data Science,Intermediate
336,Cloud Computing,Advanced
337,Mobile Development,Advanced
338,Cybersecurity,Advanced
339,Cybersecurity,Advanced
340,Data Science,Beginner
341,Cloud Computing,Intermediate
342,Cloud Computing,Beginner
343,Cloud Computing,Intermediate
344,Web Development,Beginner
345,DevOps,Beginner
346,Mobile Development,Intermediate
347,Web Development,Intermediate
348,Cybersecurity,Advanced
349,DevOps,Advanced
350,Web Development,Advanced
351,Cybersecurity,Beginner
352,Mobile Development,Advanced
353,Web Development,Advanced
354,DevOps,Intermediate
355,Mobile Development,Intermediate
356,DevOps,Advanced
357,Data Science,Beginner
358,Mobile Development,Intermediate
359,Cloud Computing,Beginner
360,Web Development,Intermediate
361,Cloud Computing,Advanced
362,DevOps,Advanced
363,Web Development,Advanced
364,Mobile Development,Advanced
365,Data Science,Intermediate
366,Mobile Development,Intermediate
367,Web Development,Advanced
368,Cybersecurity,Intermediate
369,DevOps,Advanced
370,Data Science,Advanced
371,Cybersecurity,Advanced
372,DevOps,Beginner
373,Data Science,Advanced
374,Web Development,Advanced
375,Web Development,Advanced
376,Cybersecurity,Intermediate
377,Web Development,Beginner
378,Web Development,Beginner
379,Mobile Development,Intermediate
380,Web Development,Advanced
381,Cybersecurity,Beginner
382,DevOps,Advanced
383,Mobile Development,Beginner
384,Cybersecurity,Intermediate
385,DevOps,Beginner
386,DevOps,Intermediate
387,Cloud Computing,Advanced
388,Mobile Development,Beginner
389,Data Science,Advanced
390,Web Development,Beginner
391,Web Development,Beginner
392,Mobile Development,Intermediate
393,DevOps,Intermediate
394,Data Science,Advanced
395,DevOps,Advanced
396,Cybersecurity,Advanced
397,DevOps,Advanced
398,Data Science,Intermediate
399,Cybersecurity,Intermediate
400,Mobile Development,Beginner
401,Data Science,Beginner
402,Cloud Computing,Beginner
403,Web Development,Advanced
404,DevOps,Beginner
405,Mobile Development,Beginner
406,Cloud Computing,Advanced
407,DevOps,Advanced
408,Web Development,Intermediate
409,Cloud Computing,Beginner
410,DevOps,Advanced
411,Web Development,Intermediate
412,Web Development,Advanced
413,Web Development,Beginner
414,Cybersecurity,Intermediate
415,Cybersecurity,Advanced
416,Cloud Computing,Beginner
417,Cloud Computing,Intermediate
418,Cybersecurity,Advanced
419,Data Science,Advanced
420,DevOps,Advanced
421,Data Science,Intermediate
422,Web Development,Intermediate
423,DevOps,Advanced
424,Web Development,Advanced
425,Cybersecurity,Advanced
426,Web Development,Advanced
427,Web Development,Advanced
428,Data Science,Advanced
429,Mobile Development,Beginner
430,Mobile Development,Beginner
431,Cybersecurity,Beginner
432,Mobile Development,Intermediate
433,DevOps,Advanced
434,Web Development,Advanced
435,Data Science,Beginner
436,Cloud Computing,Beginner
437,Mobile Development,Beginner
438,DevOps,Advanced
439,Data Science,Intermediate
440,Cloud Computing,Beginner
441,Mobile Development,Advanced
442,Web Development,Advanced
443,Web Development,Intermediate
444,DevOps,Advanced
445,Mobile Development,Advanced
446,Cloud Computing,Beginner
447,DevOps,Advanced
448,Cloud Computing,Intermediate
449,Web Development,Beginner
450,DevOps,Beginner
451,Cloud Computing,Beginner
452,Cybersecurity,Beginner
453,Cybersecurity,Advanced
454,Data Science,Advanced
455,Cybersecurity,Advanced
456,Data Science,Advanced
457,Web Development,Beginner
458,Cybersecurity,Beginner
459,Web Development,Beginner
460,DevOps,Intermediate
461,Web Development,Beginner
462,Data Science,Beginner
463,Web Development,Advanced
464,Cloud Computing,Intermediate
465,DevOps,Beginner
466,Cloud Computing,Beginner
467,Mobile Development,Beginner
468,Data Science,Intermediate
469,Web Development,Beginner
470,Web Development,Beginner
471,Web Development,Advanced
472,Mobile Development,Intermediate
473,Data Science,Intermediate
474,Web Development,Beginner
475,Mobile Development,Advanced
476,Web Development,Advanced
477,DevOps,Advanced
478,Web Development,Advanced
479,DevOps,Beginner
480,Cybersecurity,Advanced
481,Cybersecurity,Advanced
482,Cybersecurity,Intermediate
483,DevOps,Beginner
484,Cloud Computing,Advanced
485,Data Science,Beginner
486,Cybersecurity,Advanced
487,DevOps,Advanced
488,Data Science,Advanced
489,Web Development,Beginner
490,Cybersecurity,Intermediate
491,Data Science,Advanced
492,DevOps,Advanced
493,Cloud Computing,Advanced
494,DevOps,Advanced
495,Cloud Computing,Beginner
496,DevOps,Intermediate
497,Cloud Computing,Advanced
498,Data Science,Intermediate
499,Mobile Development,Beginner
500,Web Development,Advanced
